Season,Depth,Oxygen,MED4,SS120,MIT9313
Summer,Near surface,Full,Potential,Excluded,Excluded
Summer,Near surface,OMZ,Potential,Excluded,Potential
Spring/Fall,Near surface,Full,Potential,Excluded,Excluded
Spring/Fall,Near surface,OMZ,Potential,Potential,Potential
Winter,Near surface,Full,Excluded,Excluded,Excluded
Winter,Near surface,OMZ,Excluded,Excluded,Potential
Summer,Deep,Full,Potential,Potential,Potential
Summer,Deep,OMZ,Potential,Potential,Potential
Spring/Fall,Deep,Full,Potential,Potential,Potential
Spring/Fall,Deep,OMZ,Potential,Potential,Potential
Winter,Deep,Full,Excluded,Excluded,Potential
Winter,Deep,OMZ,Excluded,Potential,Potential
